name,description,Calories (kJ),Protein (g),TotalFat (g),Carbohydrate,Sodium(mg),SaturatedFat,Sugar(g),Calcium(mg),Iron(mg),Potassium(mg),VitaminC(mg),VitaminE(mg)
Chestnut,"CHINESE,RAW",224,4.2,1.11,49.07,3,0.164,0,18,1.41,447,36,0
Cocos,,282,3,27,10,0,0,5,0,11%,6%,0,0
Corn,yellow,365,9.42,4.74,74.26,35,0.667,0.64,7,2.71,287,0,0.49
Cucumber,"WITH PEEL,RAW",15,0.65,0.11,3.63,2,0.037,1.67,16,0.28,147,2.8,0.03
Eggplant,raw,24,1.01,0.19,5.7,2,0.034,2.35,9,0.24,230,2.2,0.3
Ginger,"ROOT,RAW",80,1.82,0.75,17.77,13,0.203,1.7,16,0.6,415,5,0.26
Hazelnut,OR FILBERTS,628,14.95,60.75,16.7,0,4.464,4.34,114,4.7,680,6.3,15.03
Kiwi,,60,1.23,0.56,14.23,3,0.149,10.98,20,0.29,316,105.4,1.49
Cabbage,,25,1.28,0.1,5.8,18,0.034,3.2,40,0.47,170,36.6,0.15
Blackberry,,43,1.39,0.49,9.61,1,0.014,4.88,29,0.62,162,21,1.17
Pitahaya,100g,60,1.2,0,13,0,0,0,0,0.68,0,1.92,0
grapefruit,123g,52,1,0,13,0,0,0,0,0,175,41.6,0
Lychee,100g,66,0.83,0.44,16.53,1,0.099,15.23,5,0.31,171,71.5,0.07
Mango,,60,0.82,0.38,14.98,1,0.092,13.66,11,0.16,168,36.4,0.9
Papaya,,43,0.47,0.26,10.82,8,0.081,7.82,20,0.25,182,60.9,0.3
Pepper,"red, bell",39,1.5,0.5,9,6,0,6.3,0,0,0,190,0
Pineapple,,50,0.54,0.12,13.12,1,0.009,9.85,13,0.29,109,47.8,0.02
Pomegranate,,83,1.67,1.17,18.7,3,0.12,13.67,10,0.3,236,10.2,0.6
Raspberry,,52,1.2,0.65,11.94,1,0.019,4.42,25,0.69,151,26.2,0.87
Strawberry,,32,0.67,0.3,7.68,1,0.015,4.89,16,0.41,153,58.8,0.29
Tomato,,18,0.88,0.2,3.89,5,0.028,2.63,10,0.27,237,13.7,0.54
Walnut,"BLACK,DRIED",618,24.06,59,9.91,2,3.368,1.1,61,3.12,523,1.7,1.8
Watermelon,,30,0.61,0.15,7.55,1,0.016,6.2,7,0.24,112,8.1,0.05
Mangostan,,143,1,1,35,0,0,0,0,0,0,5.76,0
Avocado,"California,1/5 medium (30 g/1.1 oz)",50,1,4.5,3,0,0,0,0,2,0,4,0
Banana,1 medium (126 g/4.5 oz),110,1,0,30,0,0,19,0,2,0,15,0
Beetroot,,35,,0,8,0,0,6,0,0.4,0,0,0
Cantaloupe,1/4 medium (134 g/4.8 oz),50,1,0,12,1,0,11,2,2,0,80,0
Cherry, 1 cup (138g),87,1.4,0.3,22,0,0,17.7,0,0,0,0,0
Cauliflower,1/6 medium head (99 g/3.5 oz),25,2,0,5,1,0,2,2,2,0,100,0
Grape,"1/2 medium, (154 g/5.5 oz)",60,1,0,15,0,0,11,4,0,0,100,0
Lemon,1 medium (58 g/2.1 oz),15,0,0,5,0,0,2,2,0,0,40,0
Limes,1 medium (67 g/2.4 oz),20,0,0,7,0,0,0,0,0,0,35,0
Orange,1 medium (154 g/5.5 oz),80,1,0,19,0,0,14,6,0,0,130,0
Onion,1 medium (148 g/5.3 oz),45,1,0,11,0,0,9,4,4,0,20,0
Peach,1 medium (147 g/5.3 oz),60,1,0.5,15,0,0,13,0,2,0,15,0
Pear,1 medium (166 g/5.9 oz),100,1,0,26,0,0,16,2,0,0,10,0
Plum, 2 medium (151 g/5.4 oz),70,1,0,19,0,0,16,0,2,0,10,0
Potato,1 medium (148 g/5.3 oz),110,3,0,26,0,0,1,2,6,0,45,0
Apple,1.0 cup slices,68,0.39,0.345,0,0,0,14.29,0,0,0,2.3,0
Blueberry,1.0 cup,341,1.79,1.08,0,0,0,61.5,0,0,0,1,0